Country,population,suicide_rate
Vanuatu,283218,8.20
Mozambique,27696493,17.10
Jordan,9964656,5.80
Madagascar,25501941,18.40
Libya,6282196,7.20
Angola,29154746,23.80
Mali,18700106,20.80
Fiji,918371,5.30
Guinea,11930985,27.80
Malta,455356,3.80
Hungary,9814023,28.10
Guyana,759087,31.70
Iceland,335439,24.00
Morocco,35107264,4.60
Albania,2876101,6.00
Zimbabwe,14452704,41.30
Ireland,4755335,12.40
Finland,5495303,16.50
Namibia,2323352,19.70
Latvia,1959537,25.60
Lithuania,2868231,40.40
Jamaica,2802695,2.80
Australia,24190907,12.90
Guinea-Bissau,1834552,22.90
Italy,60627498,10.20
Afghanistan,34636207,5.50
Japan,127076000,20.80
Algeria,40339329,4.20
Luxembourg,582014,21.10
Ethiopia,105293228,24.70
Ghana,29554303,23.60
Myanmar,51892349,11.70
Israel,8546000,7.90
Lebanon,6258619,5.70
Indonesia,261850182,6.60
Lesotho,2143872,55.40
Kuwait,4048085,2.60
Grenada,119966,14.30
Malaysia,31526418,15.80
Kiribati,118513,14.50
Georgia,3727505,12.60
Maldives,454252,5.70
India,1338636340,17.50
Mauritius,1263747,6.40
Mexico,121519221,6.10
Zambia,16767761,25.80
Uzbekistan,31847900,7.10
Honduras,9460798,4.90
Montenegro,622303,17.90
Kenya,47894670,12.70
Liberia,4706097,45.30
Haiti,10713849,11.60
France,66724104,20.30
Kazakhstan,17794055,29.20
Guatemala,15827690,4.10
Uruguay,3413766,23.60
Iraq,38697943,5.60
Malawi,17405624,19.80
Argentina,43590368,10.00
Gabon,2086206,23.70
Greece,10775971,7.10
Mauritania,4051890,20.70
Armenia,2865835,10.10
Mongolia,3029555,12.50
"Antigua and Barbuda",90564,8.10
Germany,82348669,16.10
"Sao Tome and Principe",204632,4.90
China,1387790000,23.40
Barbados,278649,0.00
"Saudi Arabia",33416270,6.20
Tunisia,11685667,5.90
Comoros,746232,28.10
Colombia,47625955,8.70
Samoa,205544,12.60
Belarus,9469379,32.00
Seychelles,94677,16.80
"Central African Republic",4904177,23.80
"Sierra Leone",7493913,39.30
Canada,36109487,13.60
"Trinidad and Tobago",1469330,16.90
Senegal,14751356,33.70
Chile,18083879,12.90
Serbia,7058322,22.20
Chad,14592585,33.30
Croatia,4174349,25.50
Qatar,2595166,10.70
Cyprus,1197881,8.90
Bahrain,1409661,6.20
Cuba,11342012,25.70
Uganda,38748299,47.80
Rwanda,11930899,24.30
Romania,19702267,16.40
"Côte d'Ivoire",24213622,51.80
Turkmenistan,5868561,8.20
Bangladesh,159784568,7.70
"Russian Federation",144342397,30.80
"Costa Rica",4945205,8.30
Brazil,206859578,9.20
Sudan,39377169,5.70
Timor-Leste,1224562,11.50
Botswana,2352416,21.80
Suriname,581453,34.10
Spain,46484062,10.60
"Sri Lanka",21425494,19.00
"Brunei Darussalam",425994,7.30
Thailand,70607037,17.80
"Syrian Arab Republic",18964252,2.70
Bhutan,749761,12.60
Tajikistan,8725318,7.60
Sweden,9923085,17.30
Benin,11260085,36.60
"Bosnia and Herzegovina",3480986,12.70
Switzerland,8373338,21.50
Cambodia,15624584,10.20
Slovenia,2065042,26.70
"Solomon Islands",628102,8.90
Belgium,11331422,24.20
Tonga,105707,8.10
Singapore,5607283,15.60
Cameroon,23711630,46.30
"Cabo Verde",558394,44.40
"Burkina Faso",19275498,37.70
Togo,7661354,43.30
Bulgaria,7127822,15.40
Belize,367313,15.10
"South Sudan",11066105,14.40
Somalia,14292847,18.40
"South Africa",56422274,23.90
Burundi,10903327,31.00
Austria,8736668,17.80
Paraguay,6266615,8.30
"Papua New Guinea",8899169,10.60
Djibouti,1023261,17.50
Niger,20921743,22.80
"Equatorial Guinea",1398927,41.40
Denmark,5728010,17.10
Peru,31132779,8.30
Nicaragua,6389235,8.20
Eritrea,3365287,38.90
Ecuador,16439585,8.60
Pakistan,213524840,2.90
Oman,4398070,3.30
Norway,5234519,16.30
"United Arab Emirates",8994263,4.40
"Dominican Republic",10527592,15.40
Panama,4026336,4.20
"El Salvador",6250510,11.20
Nigeria,188666931,48.80
Netherlands,17030314,17.30
Czechia,10566332,17.00
Estonia,1315790,21.00
Portugal,10325452,18.10
Poland,37970087,21.70
Azerbaijan,9757812,4.50
Ukraine,45004673,25.00
"New Zealand",4714100,8.10
Philippines,104875266,4.10
Nepal,27861186,12.50
Eswatini,1142524,23.30
